Date;Endwert;Volumen
Tag 0;353,28;523.618,00
Tag 1;350,06;369.704,00
Tag 2;347,53;723.897,00
Tag 3;338,56;852.950,00
Tag 4;337,525;1.176.153,00
Tag 5;335,8;812.298,00
Tag 6;339,71;494.484,00
Tag 7;353,395;1.157.487,00
Tag 8;350,405;780.537,00
Tag 9;345,23;597.678,00
Tag 10;349,025;650.585,00
