Date;Endwert;Volumen
Tag 0;165,278;821.252,00
Tag 1;165,14;625.913,00
Tag 2;163,3;1.114.451,00
Tag 3;163,714;728.412,00
Tag 4;165,37;856.810,00
Tag 5;166,106;1.080.089,00
Tag 6;170,292;1.135.892,00
Tag 7;165,784;791.957,00
Tag 8;166,98;965.945,00
Tag 9;166,934;1.097.693,00
Tag 10;168,268;791.379,00
