Date;Endwert;Volumen
Tag 0;62,031;8.367.492,00
Tag 1;60,858;9.456.963,00
Tag 2;59,984;7.583.045,00
Tag 3;60,375;5.425.808,00
Tag 4;60,352;6.347.549,00
Tag 5;60,559;9.717.178,00
Tag 6;62,836;11.499.772,00
Tag 7;62,882;7.027.257,00
Tag 8;62,031;6.234.665,00
Tag 9;61,87;8.127.777,00
Tag 10;63,02;10.787.639,00
