Date;Endwert;Volumen
Tag 0;42245,756;175570270
Tag 1;42327,199;143799220
Tag 2;41802,592;177206950
Tag 3;42133,631;140469280
Tag 4;41576,387;150135720
Tag 5;41623,79;191700860
Tag 6;41295,304;194039730
Tag 7;41239,736;181685970
Tag 8;41461,134;149818550
Tag 9;40862,329;168399790
Tag 10;40871,046;128732610
