Date;Endwert;Volumen
Tag 0;28,635;11.482.246,00
Tag 1;28,405;8.678.949,00
Tag 2;27,761;17.889.103,00
Tag 3;27,922;12.638.249,00
Tag 4;28,198;12.958.554,00
Tag 5;28,474;18.099.346,00
Tag 6;28,704;8.329.579,00
Tag 7;28,796;11.913.671,00
Tag 8;28,727;10.057.104,00
Tag 9;28,635;11.240.542,00
Tag 10;28,543;9.963.087,00
