Date;Endwert;Volumen
Tag 0;90,16;1.063.426,00
Tag 1;88,78;1.297.881,00
Tag 2;87,331;1.191.688,00
Tag 3;87,538;1.237.823,00
Tag 4;87,607;1.551.454,00
Tag 5;88,642;1.629.203,00
Tag 6;90,919;1.841.516,00
Tag 7;92,069;1.679.207,00
Tag 8;91,264;1.908.676,00
Tag 9;89,746;2.529.439,00
Tag 10;91,701;1.865.792,00
