Date;Endwert;Volumen
Tag 0;89,217;5.155.238,00
Tag 1;89,677;4.021.511,00
Tag 2;87,929;4.707.001,00
Tag 3;88,09;3.749.271,00
Tag 4;88,067;5.004.754,00
Tag 5;88,182;6.284.345,00
Tag 6;88,895;4.292.906,00
Tag 7;89,815;5.522.868,00
Tag 8;88,412;6.309.592,00
Tag 9;87,4;6.552.346,00
Tag 10;89,332;5.194.435,00
