Date;Endwert;Volumen
Tag 0;29,785;14.287.549,00
Tag 1;29,67;14.375.409,00
Tag 2;29,44;8.599.286,00
Tag 3;29,992;9.239.125,00
Tag 4;30,728;11.299.567,00
Tag 5;30,774;10.925.554,00
Tag 6;31,073;8.980.782,00
Tag 7;31,924;12.603.956,00
Tag 8;31,855;11.619.313,00
Tag 9;32,338;16.195.609,00
Tag 10;32,43;11.314.556,00
