Date;Endwert;Volumen
Tag 0;577,07;335.161,00
Tag 1;575,92;504.868,00
Tag 2;572,24;441.133,00
Tag 3;576,84;421.574,00
Tag 4;571,32;256.609,00
Tag 5;578,91;242.213,00
Tag 6;560,97;765.974,00
Tag 7;550,85;467.703,00
Tag 8;545,56;338.588,00
Tag 9;535,9;619.507,00
Tag 10;539,12;277.051,00
