Date;Endwert;Volumen
Tag 0;81,512;408.098,00
Tag 1;81,42;579.639,00
Tag 2;80,477;603.345,00
Tag 3;81,742;733.576,00
Tag 4;83,789;1.527.117,00
Tag 5;84,226;1.849.193,00
Tag 6;89,654;1.727.015,00
Tag 7;91,77;1.844.122,00
Tag 8;89,608;793.081,00
Tag 9;86,917;1.005.171,00
Tag 10;86,066;1.002.204,00
