Date;Endwert;Volumen
Tag 0;151,938;668318
Tag 1;151,432;562178
Tag 2;150,604;1137796
Tag 3;142,37;2489136
Tag 4;146,05;1337370
Tag 5;143,428;1393333
Tag 6;144,762;947492
Tag 7;144,762;906938
Tag 8;145,452;747125
Tag 9;142,784;819357
Tag 10;143,75;941804
