Date;Endwert;Volumen
Tag 0;213,532;943.248,00
Tag 1;214,222;883.301,00
Tag 2;207,598;1.352.492,00
Tag 3;206,816;864.149,00
Tag 4;207,23;736.612,00
Tag 5;206,816;885.150,00
Tag 6;205,804;486.192,00
Tag 7;209,346;1.086.210,00
Tag 8;210,174;1.083.169,00
Tag 9;205,712;1.020.574,00
Tag 10;206,54;1.754.125,00
