Date;Endwert;Volumen
Tag 0;530,38;244.642,00
Tag 1;536,36;181.086,00
Tag 2;528,77;176.100,00
Tag 3;526,01;207.198,00
Tag 4;528,31;187.383,00
Tag 5;529;274.632,00
Tag 6;531,3;198.313,00
Tag 7;540,96;298.598,00
Tag 8;533,83;265.227,00
Tag 9;523,71;314.102,00
Tag 10;529,92;213.288,00
