Date;Endwert;Volumen
Tag 0;284,51;2.472.215,00
Tag 1;283,59;2.021.047,00
Tag 2;277,495;3.193.769,00
Tag 3;278,415;1.705.135,00
Tag 4;280,485;1.638.612,00
Tag 5;278,76;1.893.804,00
Tag 6;278,99;2.077.208,00
Tag 7;279,105;2.178.710,00
Tag 8;276,23;1.886.002,00
Tag 9;273,24;2.494.394,00
Tag 10;276,23;1.873.311,00
