Date;Endwert;Volumen
Tag 0;34,017;33.362.560,00
Tag 1;33,833;25.076.665,00
Tag 2;33,212;19.210.552,00
Tag 3;33,35;13.208.774,00
Tag 4;34,04;15.564.875,00
Tag 5;34,385;24.363.613,00
Tag 6;34,868;14.444.423,00
Tag 7;35,42;19.274.311,00
Tag 8;35,42;19.984.594,00
Tag 9;38,318;74.021.114,00
Tag 10;38,019;34.114.173,00
