Date;Endwert;Volumen
Tag 0;397,118;2.504.187,00
Tag 1;404,57;2.949.667,00
Tag 2;398,084;2.486.820,00
Tag 3;397,164;1.726.953,00
Tag 4;403,696;2.763.922,00
Tag 5;397,808;3.806.180,00
Tag 6;400,246;2.041.317,00
Tag 7;403,282;2.531.435,00
Tag 8;401,672;2.812.031,00
Tag 9;399,51;2.861.396,00
Tag 10;408,526;2.508.106,00
