Date;Endwert;Volumen
Tag 0;251,85;2.932.838,00
Tag 1;252,31;2.341.655,00
Tag 2;244,835;3.121.866,00
Tag 3;243,685;1.529.397,00
Tag 4;245,985;1.430.993,00
Tag 5;243,455;2.371.599,00
Tag 6;243,455;1.461.733,00
Tag 7;244,835;2.176.695,00
Tag 8;245,065;2.114.963,00
Tag 9;241,615;1.966.376,00
Tag 10;244,72;1.535.179,00
