Date;Endwert;Volumen
Tag 0;301,645;601.694,00
Tag 1;304,52;743.236,00
Tag 2;307,855;1.160.405,00
Tag 3;308,085;617.757,00
Tag 4;311,88;744.248,00
Tag 5;312,34;636.750,00
Tag 6;313,72;530.741,00
Tag 7;316,48;663.299,00
Tag 8;318,78;668.251,00
Tag 9;319,815;664.240,00
Tag 10;323,15;495.112,00
