Date;Endwert;Volumen
Tag 0;116,426;1.416.945,00
Tag 1;116,288;1.302.327,00
Tag 2;113,988;2.095.178,00
Tag 3;112,769;1.065.305,00
Tag 4;113,574;979.860,00
Tag 5;112,631;1.147.399,00
Tag 6;113,229;821.677,00
Tag 7;113,85;1.063.076,00
Tag 8;113,482;864.089,00
Tag 9;112,562;946.439,00
Tag 10;113,505;1.318.944,00
