Date;Endwert;Volumen
Tag 0;173,351;6.351.678,00
Tag 1;175,352;5.604.688,00
Tag 2;171,603;7.738.014,00
Tag 3;171,12;4.286.807,00
Tag 4;172,063;4.138.443,00
Tag 5;170,522;6.026.359,00
Tag 6;170,637;4.936.276,00
Tag 7;170,315;5.301.548,00
Tag 8;170,246;5.113.420,00
Tag 9;168,406;6.186.844,00
Tag 10;171,028;6.055.475,00
