Date;Endwert;Volumen
Tag 0;122,82;1.084.264,00
Tag 1;123,05;1.259.492,00
Tag 2;121,118;1.411.890,00
Tag 3;119,784;1.019.061,00
Tag 4;117,714;1.967.438,00
Tag 5;116,84;1.667.769,00
Tag 6;118,358;1.548.066,00
Tag 7;119,968;1.487.254,00
Tag 8;121,348;1.867.968,00
Tag 9;120,29;1.487.364,00
Tag 10;121,762;1.612.160,00
