Date;Endwert;Volumen
Tag 0;74,727;12.801.913,00
Tag 1;73,6;5.201.742,00
Tag 2;73,37;6.955.833,00
Tag 3;72,91;3.998.327,00
Tag 4;74,382;5.216.786,00
Tag 5;74,635;5.261.443,00
Tag 6;73,761;7.625.427,00
Tag 7;73,439;5.205.820,00
Tag 8;72,818;4.629.845,00
Tag 9;73,347;6.737.096,00
Tag 10;74,037;5.078.018,00
