Date;Endwert;Volumen
Tag 0;602,6;1.818.242,00
Tag 1;607,2;1.415.951,00
Tag 2;595,7;1.858.464,00
Tag 3;601,22;1.623.324,00
Tag 4;602,6;2.176.810,00
Tag 5;605,36;2.004.779,00
Tag 6;613,41;1.336.645,00
Tag 7;622,15;1.941.361,00
Tag 8;613,41;2.466.371,00
Tag 9;604,21;2.519.551,00
Tag 10;610,65;1.533.783,00
