Date;Endwert;Volumen
Tag 0;394,818;2.667.255,00
Tag 1;391,874;3.703.442,00
Tag 2;388,148;3.453.266,00
Tag 3;389,114;2.958.711,00
Tag 4;381,34;6.026.780,00
Tag 5;382,03;3.557.746,00
Tag 6;402,178;5.982.627,00
Tag 7;403,788;5.064.568,00
Tag 8;391,46;5.230.589,00
Tag 9;400,2;3.445.561,00
Tag 10;394,266;2.263.701,00
