Date;Endwert;Volumen
Tag 0;48,714;20.964.551,00
Tag 1;48,599;15.888.662,00
Tag 2;47,909;19.869.344,00
Tag 3;48,024;13.477.262,00
Tag 4;48,185;12.237.254,00
Tag 5;48,668;21.073.157,00
Tag 6;49,703;22.315.794,00
Tag 7;50,025;18.001.396,00
Tag 8;50,071;22.432.052,00
Tag 9;49,841;19.045.493,00
Tag 10;50,255;16.943.484,00
