Date;Endwert;Volumen
Tag 0;436,31;921.638,00
Tag 1;438,265;613.537,00
Tag 2;428,49;725.645,00
Tag 3;430,1;624.878,00
Tag 4;429,985;516.891,00
Tag 5;428,49;796.633,00
Tag 6;432,055;503.583,00
Tag 7;432,975;999.477,00
Tag 8;415,61;1.811.584,00
Tag 9;417,335;1.018.040,00
Tag 10;420,095;675.342,00
