Date;Endwert;Volumen
Tag 0;73,738;10.663.824,00
Tag 1;74,405;10.728.120,00
Tag 2;73,807;9.380.177,00
Tag 3;72,45;7.809.036,00
Tag 4;71,047;12.115.763,00
Tag 5;69,322;13.018.499,00
Tag 6;68,563;11.549.275,00
Tag 7;68,563;12.662.195,00
Tag 8;72,289;21.008.557,00
Tag 9;74,888;22.582.743,00
Tag 10;75,969;10.934.667,00
