Date;Endwert;Volumen
Tag 0;222,824;863.284,00
Tag 1;226,182;805.317,00
Tag 2;220,11;916.890,00
Tag 3;220,8;572.868,00
Tag 4;217,35;943.649,00
Tag 5;214,222;1.084.462,00
Tag 6;212,336;861.479,00
Tag 7;215,602;711.349,00
Tag 8;215,372;689.522,00
Tag 9;214,13;857.362,00
Tag 10;219,006;595.615,00
