Date;Endwert;Volumen
Tag 0;40,549;10.313.929,00
Tag 1;40,595;7.670.429,00
Tag 2;40,066;10.336.018,00
Tag 3;40,848;5.761.794,00
Tag 4;41,032;5.798.298,00
Tag 5;40,526;7.420.111,00
Tag 6;40,871;6.565.615,00
Tag 7;40,848;6.781.838,00
Tag 8;40,894;7.346.681,00
Tag 9;40,94;4.939.038,00
Tag 10;43,355;11.082.624,00
