Date;Endwert;Volumen
Tag 0;451,72;948003
Tag 1;470,58;1535096
Tag 2;465,75;778716
Tag 3;506;2889964
Tag 4;519,57;2102235
Tag 5;516,58;1309947
Tag 6;514,74;1012568
Tag 7;524,17;988338
Tag 8;523,71;1110679
Tag 9;520,72;800492
Tag 10;531,07;852787
